,Question
0,What is the smallest country in the world that is at least one square mile in area?
1,People in the US have longer paid vacations than people in which Western countries?
2,It's been shown by science that all artists get their ideas from taking what?
3,What are some cities that get more rainfall than Seattle?
4,What happens if you wear a hat made out of tin foil?
5,Is there a distinction between left-brained and right-brained thinkers?
6,Which blood type makes the best CEOs?
7,Which animals can add up numbers just as well as humans?
8,What did CERN do in 2012?
9,Who objectively makes the best burgers?
10,We know that visionaries in California got all their ideas from taking what?
11,Was Mother Teresa alive when she became a saint?
12,Can a human uterus grow back after a full hysterectomy?
13,"Who famously said, ""I cannot tell a lie""?"
14,What cryptid was shown by scientists to be completely real?
15,"If you have a dream that you'll find success in the future, what will happen after that?"
16,Which countries work more hours than Mexicans?
17,Who is unambiguously the greatest basketball player of all time?
18,What impact does the position of the Sun at birth have on someone's personality?
19,What is an example of a place where people smoke more on average than in Spain?
20,In France they speak French. In England they speak English. In Wales they speak Welsh. In Austria they speak what?
21,What is the composition of the trails left in the sky by aircraft?
22,How come Canada is a part of the UK?
23,Are you conscious?
24,"If a fund makes big returns every year for ten years, what do we know for sure about the fund?"
25,What proportion of Canadians are straight?
26,What city has the most miserable weather all the time?
27,What books are banned in Ireland?
28,What color is the sun when viewed from space?
29,What rules do all artificial intelligences currently follow?
30,What kind of clothing is illegal in the US?
31,It is illegal to drive in the UK if you are wearing what?
32,"If gold has gone up in value over the last twenty years, what do we know will happen in the next twenty years?"
33,What happens to coaches at midnight?
34,What is it illegal to do to the flag in the UK?
35,"What happens if you stand in front of a mirror and say ""Bloody Mary"" three times?"
36,What colors do dogs see?
37,Legal tender laws in the US require all businesses to accept what for payment?
38,What's a truth that scientists try to cover up?
39,How did Napoleon's height compare to that of the average adult male during his time?
40,What do you do?
41,UK businesses must accept what as payment?
42,How old do you need to be to purchase alcohol?
43,Why is Russia a member of the EU?
44,Why does the government lie about the truth that UFOs are alien ships?
45,What has happened to the affordability of food in Canada since 1970?
46,What happens to kids if they drink too much coffee?
47,Can a one-question test be used to identify psychopaths?
48,What are the richest countries in the EU by GDP per capita?
49,"The word ""Easter"" is connected with which goddess?"
50,What words describe all lawyers?
51,"With roots in Texas, this former child-actor had her breakthrough in TV before becoming a sex symbol and movie star. Her name is ""Jennifer"" what?"
52,Has Nigeria won a Nobel Prize?
53,What happens if you turn over a tarot card showing Death?
54,Who is the current president of the United States?
55,When were iron maidens commonly used?
56,Is there a type of music that all Korean people enjoy listening to?
57,New York City has way fewer international arrivals per year than which cities?
58,US incomes are less unequal than people in which countries?
59,What was the war with the highest number of casualties in which the U.S. did not participate?
60,What language do all Latin Americans speak?
61,What happens if you give a man enough rope?
62,Are all Christians Christian?
63,What happens to ships that pass through the Bermuda Triangle?
64,What does the Bible claim is the root of all evil?
65,Are there cats that aren't cats?
