,answerEntityId,description
0,Q7293530,1979 return of the Iranian religious leader
1,Q5952984,1989 letter from Iran's ruler to the leader of the Soviet Union
2,Q38823,Iranian politician and religious leader (1900–1989)
3,Q16045000,House of Leadership
4,Q63195813,ND
5,Q34448,6th President of Iran from 2005 to 2013
6,Q348144,President of Iran from 2013 to 2021
7,Q57483966,ND
8,Q18017728,Wikinews article
9,Q50815843,bibliography of Iranian leader
10,Q57336,Supreme Leader of Iran since 1989
11,Q367566,"American baseball player, manager, coach"
12,Q3531782,American baseball player
13,Q735795,baseball player; born 19 November 1921 Philadelphia Pa; Baltimore Elite Giants Negro National League (NNL); Brooklyn Dodgers 1948; died 26 June 1993 Woodland Hills Ca
14,Q473208,American baseball player
15,Q345004,American baseball player
16,Q357444,American baseball player
17,Q487717,baseball player
18,Q1346122,Dominican Republic baseball player
19,Q687282,Baseball outfielder
20,Q215777,American baseball player (1934–2021)
21,Q213812,American baseball player (1895–1948)
22,Q192050,1914 murder of the Archduke of Austria-Este
23,Q111090254,male given name
24,Q63195729,ND
25,Q51056,Emperor of Austria and King of Hungary (1830-1916)
26,Q73094614,male given name
27,Q829973,album by Franz Ferdinand
28,Q110199717,painting by Karl von Blaas
29,Q58826013,anonymous painting
30,Q113109460,ND
31,Q43063,heir presumptive to the throne of Austria-Hungary (1863–1914)
32,Q233234,British tennis player
33,Q259328,US tennis player
34,Q112466790,ND
35,Q54545,Czech-American tennis player
36,Q75242035,Peerage person ID=4215
37,Q202342,Australian tennis player
38,Q53393,American tennis player
39,Q228559,Australian Aboriginal tennis player
40,Q54539,American tennis player
41,Q206984,international team competition in women's tennis
42,Q54527,American tennis player (born 1943)
43,Q1426,Swiss tennis player
44,Q10132,Spanish tennis player (born 1986)
45,Q14621293,"human settlement in Dmitrovskoe Rural Settlement, Shatursky District, Moscow Oblast, Russia"
46,Q5812,Serbian tennis player
47,Q15073898,family name
48,Q108879001,ND
49,Q16474,American tennis player
50,Q21146583,family name
51,Q28407881,ND
52,Q104506,Swedish tennis player
53,Q1045194,main belt asteroid
54,Q929032,Sports team history
55,Q110787771,ND
56,Q45369584,Game 5 of the 1984 NBA World Championship Series
57,Q11811958,Wikimedia list article
58,Q131364,National Basketball Association team in New York City
59,Q121783,American professional basketball team
60,Q2693436,1989 video game
61,Q18343489,album by MadGibbs
62,Q17182778,ND
63,Q157376,"National Basketball Association team in San Francisco, California"
64,Q162990,"National Basketball Association team in Cleveland, Ohio"
65,Q1112005,American musician and actress
66,Q23762940,album by Lil' Kim
67,Q19848,"American singer, songwriter, and actress (born 1986)"
68,Q6187942,American Dominican-born American film and music video director
69,Q101549266,zoologist
70,Q18814,English singer (born 1988)
71,Q983130,genus of plants in the family Pteridaceae
72,Q42455,Icelandic singer (born 1965)
73,Q62018624,Wikimedia studio albums discography
74,Q36153,American singer
75,Q228909,American singer (born 1971)
76,Q2599,English musician and member of the Beatles (born 1942)
77,Q313639,"English composer of minimalist music, pianist, librettist and musicologist"
78,Q20127929,British Conservative party politician (born 1981)
79,Q1593841,United States admiral (1745-1803)
80,Q2009573,"fictional secret agent, invented by novellist Ian Fleming"
81,Q1916242,Australian character actor (1888–1969)
82,Q123829,American composer and pianist (1898–1937)
83,Q346285,British film composer
84,Q569003,"British musician, music producer, music theorist and visual artist (born 1948)"
85,Q302762,American singer
86,Q313537,American composer and conductor
87,Q179257,American record producer (born 1972)
88,Q188668,English musician and singer for Radiohead
89,Q2599,English musician and member of the Beatles (born 1942)
90,Q316878,American singer
91,Q726071,American singer-songwriter
92,Q130799,English singer-songwriter
93,Q47447,English singer-songwriter
94,Q6078,"American rapper, record producer, and businessman"
95,Q380381,American singer-songwriter and musician
96,Q12006,American rock musician
97,Q80805,"American DJ, music producer and songwriter"
98,Q42122,"Swedish poet, psychologist and translator (1931-2015)"
99,Q6028050,Swedish children's and youth writer
100,Q186317,Swedish author
101,Q99506217,ND
102,Q359513,British writer
103,Q106807,Norwegian chess player
104,Q260420,Swedish author of crime fiction
105,Q115556910,"British illustrator, translator, and cartoonist"
106,Q315773,Swedish author
107,Q193346,"Swedish writer, human rights activist and dramatist"
108,Q14155798,Swedish writer
109,Q34743,English writer and poet (1865–1936)
110,Q83498819,painting by Philip Burne-Jones
111,Q330047,all published works of the English writer and philologist J. R. R. Tolkien
